,Symbol,Order,Shares
2008-08-29,JPM,BUY,0.0
2008-09-02,JPM,BUY,0.0
2008-09-03,JPM,BUY,0.0
2008-09-04,JPM,BUY,0.0
2008-09-05,JPM,BUY,0.0
2008-09-08,JPM,BUY,0.0
2008-09-09,JPM,BUY,0.0
2008-09-10,JPM,BUY,0.0
2008-09-11,JPM,BUY,0.0
2008-09-12,JPM,BUY,0.0
2008-09-15,JPM,BUY,0.0
2008-09-16,JPM,BUY,0.0
2008-09-17,JPM,BUY,0.0
2008-09-18,JPM,BUY,0.0
2008-09-19,JPM,BUY,0.0
2008-09-22,JPM,BUY,0.0
2008-09-23,JPM,BUY,0.0
2008-09-24,JPM,BUY,0.0
2008-09-25,JPM,BUY,0.0
2008-09-26,JPM,SELL,2000.0
2008-09-29,JPM,BUY,0.0
2008-09-30,JPM,BUY,0.0
2008-10-01,JPM,BUY,0.0
2008-10-02,JPM,BUY,0.0
2008-10-03,JPM,BUY,0.0
2008-10-06,JPM,BUY,0.0
2008-10-07,JPM,BUY,0.0
2008-10-08,JPM,BUY,0.0
2008-10-09,JPM,BUY,0.0
2008-10-10,JPM,BUY,0.0
2008-10-13,JPM,BUY,0.0
2008-10-14,JPM,BUY,0.0
2008-10-15,JPM,BUY,0.0
2008-10-16,JPM,BUY,0.0
2008-10-17,JPM,BUY,0.0
2008-10-20,JPM,BUY,0.0
2008-10-21,JPM,BUY,0.0
2008-10-22,JPM,BUY,0.0
2008-10-23,JPM,BUY,0.0
2008-10-24,JPM,BUY,0.0
2008-10-27,JPM,BUY,0.0
2008-10-28,JPM,BUY,0.0
2008-10-29,JPM,BUY,0.0
2008-10-30,JPM,BUY,0.0
2008-10-31,JPM,BUY,0.0
2008-11-03,JPM,BUY,0.0
2008-11-04,JPM,BUY,0.0
2008-11-05,JPM,BUY,0.0
2008-11-06,JPM,BUY,0.0
2008-11-07,JPM,BUY,0.0
2008-11-10,JPM,BUY,0.0
2008-11-11,JPM,BUY,0.0
2008-11-12,JPM,BUY,0.0
2008-11-13,JPM,BUY,0.0
2008-11-14,JPM,BUY,0.0
2008-11-17,JPM,BUY,0.0
2008-11-18,JPM,BUY,0.0
2008-11-19,JPM,BUY,0.0
2008-11-20,JPM,BUY,0.0
2008-11-21,JPM,BUY,0.0
2008-11-24,JPM,BUY,0.0
2008-11-25,JPM,BUY,0.0
2008-11-26,JPM,BUY,0.0
2008-11-28,JPM,BUY,0.0
2008-12-01,JPM,BUY,0.0
2008-12-02,JPM,BUY,0.0
2008-12-03,JPM,BUY,0.0
2008-12-04,JPM,BUY,0.0
2008-12-05,JPM,BUY,0.0
2008-12-08,JPM,BUY,0.0
2008-12-09,JPM,BUY,0.0
2008-12-10,JPM,BUY,0.0
2008-12-11,JPM,BUY,0.0
2008-12-12,JPM,BUY,0.0
2008-12-15,JPM,BUY,0.0
2008-12-16,JPM,BUY,0.0
2008-12-17,JPM,BUY,0.0
2008-12-18,JPM,BUY,0.0
2008-12-19,JPM,BUY,0.0
2008-12-22,JPM,BUY,0.0
2008-12-23,JPM,BUY,0.0
2008-12-24,JPM,BUY,0.0
2008-12-26,JPM,BUY,0.0
2008-12-29,JPM,BUY,0.0
2008-12-30,JPM,BUY,0.0
2008-12-31,JPM,BUY,0.0
2009-01-02,JPM,BUY,0.0
2009-01-05,JPM,BUY,0.0
2009-01-06,JPM,BUY,0.0
2009-01-07,JPM,BUY,0.0
2009-01-08,JPM,BUY,0.0
2009-01-09,JPM,BUY,0.0
2009-01-12,JPM,BUY,0.0
2009-01-13,JPM,BUY,0.0
2009-01-14,JPM,BUY,0.0
2009-01-15,JPM,BUY,0.0
2009-01-16,JPM,BUY,0.0
2009-01-20,JPM,BUY,2000.0
2009-01-21,JPM,BUY,0.0
2009-01-22,JPM,BUY,0.0
2009-01-23,JPM,BUY,0.0
2009-01-26,JPM,BUY,0.0
2009-01-27,JPM,BUY,0.0
2009-01-28,JPM,BUY,0.0
2009-01-29,JPM,BUY,0.0
2009-01-30,JPM,BUY,0.0
2009-02-02,JPM,BUY,0.0
2009-02-03,JPM,BUY,0.0
2009-02-04,JPM,BUY,0.0
2009-02-05,JPM,BUY,0.0
2009-02-06,JPM,BUY,0.0
2009-02-09,JPM,BUY,0.0
2009-02-10,JPM,BUY,0.0
2009-02-11,JPM,BUY,0.0
2009-02-12,JPM,BUY,0.0
2009-02-13,JPM,BUY,0.0
2009-02-17,JPM,BUY,0.0
2009-02-18,JPM,BUY,0.0
2009-02-19,JPM,BUY,0.0
2009-02-20,JPM,BUY,0.0
2009-02-23,JPM,BUY,0.0
2009-02-24,JPM,BUY,0.0
2009-02-25,JPM,BUY,0.0
2009-02-26,JPM,BUY,0.0
2009-02-27,JPM,BUY,0.0
2009-03-02,JPM,BUY,0.0
2009-03-03,JPM,BUY,0.0
2009-03-04,JPM,BUY,0.0
2009-03-05,JPM,BUY,0.0
2009-03-06,JPM,BUY,0.0
2009-03-09,JPM,BUY,0.0
2009-03-10,JPM,BUY,0.0
2009-03-11,JPM,BUY,0.0
2009-03-12,JPM,BUY,0.0
2009-03-13,JPM,BUY,0.0
2009-03-16,JPM,BUY,0.0
2009-03-17,JPM,BUY,0.0
2009-03-18,JPM,BUY,0.0
2009-03-19,JPM,BUY,0.0
2009-03-20,JPM,BUY,0.0
2009-03-23,JPM,BUY,0.0
2009-03-24,JPM,BUY,0.0
2009-03-25,JPM,BUY,0.0
2009-03-26,JPM,BUY,0.0
2009-03-27,JPM,BUY,0.0
2009-03-30,JPM,BUY,0.0
2009-03-31,JPM,BUY,0.0
2009-04-01,JPM,BUY,0.0
2009-04-02,JPM,BUY,0.0
2009-04-03,JPM,BUY,0.0
2009-04-06,JPM,BUY,0.0
2009-04-07,JPM,BUY,0.0
2009-04-08,JPM,BUY,0.0
2009-04-09,JPM,BUY,0.0
2009-04-13,JPM,BUY,0.0
2009-04-14,JPM,BUY,0.0
2009-04-15,JPM,BUY,0.0
2009-04-16,JPM,BUY,0.0
2009-04-17,JPM,BUY,0.0
2009-04-20,JPM,BUY,0.0
2009-04-21,JPM,BUY,0.0
2009-04-22,JPM,BUY,0.0
2009-04-23,JPM,BUY,0.0
2009-04-24,JPM,BUY,0.0
2009-04-27,JPM,BUY,0.0
2009-04-28,JPM,BUY,0.0
2009-04-29,JPM,BUY,0.0
2009-04-30,JPM,BUY,0.0
2009-05-01,JPM,BUY,0.0
2009-05-04,JPM,BUY,0.0
2009-05-05,JPM,BUY,0.0
2009-05-06,JPM,SELL,2000.0
2009-05-07,JPM,BUY,0.0
2009-05-08,JPM,BUY,0.0
2009-05-11,JPM,BUY,0.0
2009-05-12,JPM,BUY,0.0
2009-05-13,JPM,BUY,0.0
2009-05-14,JPM,BUY,0.0
2009-05-15,JPM,BUY,0.0
2009-05-18,JPM,BUY,0.0
2009-05-19,JPM,BUY,0.0
2009-05-20,JPM,BUY,0.0
2009-05-21,JPM,BUY,0.0
2009-05-22,JPM,BUY,0.0
2009-05-26,JPM,BUY,0.0
2009-05-27,JPM,BUY,0.0
2009-05-28,JPM,BUY,0.0
2009-05-29,JPM,BUY,0.0
2009-06-01,JPM,BUY,0.0
2009-06-02,JPM,BUY,0.0
2009-06-03,JPM,BUY,0.0
2009-06-04,JPM,BUY,0.0
2009-06-05,JPM,BUY,0.0
2009-06-08,JPM,BUY,0.0
2009-06-09,JPM,BUY,0.0
2009-06-10,JPM,BUY,0.0
2009-06-11,JPM,BUY,0.0
2009-06-12,JPM,BUY,0.0
2009-06-15,JPM,BUY,0.0
2009-06-16,JPM,BUY,0.0
2009-06-17,JPM,BUY,0.0
2009-06-18,JPM,BUY,0.0
2009-06-19,JPM,BUY,0.0
2009-06-22,JPM,BUY,0.0
2009-06-23,JPM,BUY,0.0
2009-06-24,JPM,BUY,0.0
2009-06-25,JPM,BUY,0.0
2009-06-26,JPM,BUY,0.0
2009-06-29,JPM,BUY,0.0
2009-06-30,JPM,BUY,0.0
2009-07-01,JPM,BUY,0.0
2009-07-02,JPM,BUY,0.0
2009-07-06,JPM,BUY,0.0
2009-07-07,JPM,BUY,0.0
2009-07-08,JPM,BUY,0.0
2009-07-09,JPM,BUY,0.0
2009-07-10,JPM,BUY,0.0
2009-07-13,JPM,BUY,0.0
2009-07-14,JPM,BUY,0.0
2009-07-15,JPM,BUY,0.0
2009-07-16,JPM,BUY,0.0
2009-07-17,JPM,BUY,0.0
2009-07-20,JPM,BUY,0.0
2009-07-21,JPM,BUY,0.0
2009-07-22,JPM,BUY,0.0
2009-07-23,JPM,BUY,0.0
2009-07-24,JPM,BUY,0.0
2009-07-27,JPM,BUY,0.0
2009-07-28,JPM,BUY,0.0
2009-07-29,JPM,BUY,0.0
2009-07-30,JPM,BUY,0.0
2009-07-31,JPM,BUY,0.0
2009-08-03,JPM,BUY,0.0
2009-08-04,JPM,BUY,0.0
2009-08-05,JPM,BUY,0.0
2009-08-06,JPM,BUY,0.0
2009-08-07,JPM,BUY,0.0
2009-08-10,JPM,BUY,0.0
2009-08-11,JPM,BUY,0.0
2009-08-12,JPM,BUY,0.0
2009-08-13,JPM,BUY,0.0
2009-08-14,JPM,BUY,0.0
2009-08-17,JPM,BUY,0.0
2009-08-18,JPM,BUY,0.0
2009-08-19,JPM,BUY,0.0
2009-08-20,JPM,BUY,0.0
2009-08-21,JPM,BUY,0.0
2009-08-24,JPM,BUY,0.0
2009-08-25,JPM,BUY,0.0
2009-08-26,JPM,BUY,0.0
2009-08-27,JPM,BUY,0.0
2009-08-28,JPM,BUY,0.0
2009-08-31,JPM,BUY,0.0
2009-09-01,JPM,BUY,0.0
2009-09-02,JPM,BUY,0.0
2009-09-03,JPM,BUY,0.0
2009-09-04,JPM,BUY,0.0
2009-09-08,JPM,BUY,0.0
2009-09-09,JPM,BUY,0.0
2009-09-10,JPM,BUY,0.0
2009-09-11,JPM,BUY,0.0
2009-09-14,JPM,BUY,0.0
2009-09-15,JPM,BUY,0.0
2009-09-16,JPM,BUY,0.0
2009-09-17,JPM,BUY,0.0
2009-09-18,JPM,BUY,0.0
2009-09-21,JPM,BUY,0.0
2009-09-22,JPM,BUY,0.0
2009-09-23,JPM,BUY,0.0
2009-09-24,JPM,BUY,0.0
2009-09-25,JPM,BUY,0.0
2009-09-28,JPM,BUY,0.0
2009-09-29,JPM,BUY,0.0
2009-09-30,JPM,BUY,0.0
2009-10-01,JPM,BUY,0.0
2009-10-02,JPM,BUY,0.0
2009-10-05,JPM,BUY,0.0
2009-10-06,JPM,BUY,0.0
2009-10-07,JPM,BUY,0.0
2009-10-08,JPM,BUY,0.0
2009-10-09,JPM,BUY,0.0
2009-10-12,JPM,BUY,0.0
2009-10-13,JPM,BUY,0.0
2009-10-14,JPM,BUY,0.0
2009-10-15,JPM,BUY,0.0
2009-10-16,JPM,BUY,0.0
2009-10-19,JPM,BUY,0.0
2009-10-20,JPM,BUY,0.0
2009-10-21,JPM,BUY,0.0
2009-10-22,JPM,BUY,0.0
2009-10-23,JPM,BUY,0.0
2009-10-26,JPM,BUY,0.0
2009-10-27,JPM,BUY,0.0
2009-10-28,JPM,BUY,0.0
2009-10-29,JPM,BUY,0.0
2009-10-30,JPM,BUY,0.0
2009-11-02,JPM,BUY,0.0
2009-11-03,JPM,BUY,0.0
2009-11-04,JPM,BUY,0.0
2009-11-05,JPM,BUY,0.0
2009-11-06,JPM,BUY,0.0
2009-11-09,JPM,BUY,0.0
2009-11-10,JPM,BUY,0.0
2009-11-11,JPM,BUY,0.0
2009-11-12,JPM,BUY,0.0
2009-11-13,JPM,BUY,0.0
2009-11-16,JPM,BUY,0.0
2009-11-17,JPM,BUY,0.0
2009-11-18,JPM,BUY,0.0
2009-11-19,JPM,BUY,0.0
2009-11-20,JPM,BUY,0.0
2009-11-23,JPM,BUY,0.0
2009-11-24,JPM,BUY,0.0
2009-11-25,JPM,BUY,0.0
2009-11-27,JPM,BUY,0.0
2009-11-30,JPM,BUY,0.0
2009-12-01,JPM,BUY,0.0
2009-12-02,JPM,BUY,0.0
2009-12-03,JPM,BUY,0.0
2009-12-04,JPM,BUY,0.0
2009-12-07,JPM,BUY,0.0
2009-12-08,JPM,BUY,0.0
2009-12-09,JPM,BUY,0.0
2009-12-10,JPM,BUY,0.0
2009-12-11,JPM,BUY,0.0
2009-12-14,JPM,BUY,0.0
2009-12-15,JPM,BUY,0.0
2009-12-16,JPM,BUY,0.0
2009-12-17,JPM,BUY,0.0
2009-12-18,JPM,BUY,0.0
2009-12-21,JPM,BUY,0.0
2009-12-22,JPM,BUY,0.0
2009-12-23,JPM,BUY,0.0
2009-12-24,JPM,BUY,0.0
2009-12-28,JPM,BUY,0.0
2009-12-29,JPM,BUY,0.0
2009-12-30,JPM,BUY,0.0
2009-12-31,JPM,BUY,0.0
